Hotel_Name,Locality,Price,Rating,Score,Review,Link
The Atlantiis Suite Near IGI Airport,New Delhi,"1,176",Exceptional,9.5,17,https://www.booking.com/hotel/in/prestine.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsKU5L4GwAIB0gIkNTU4ZjQzOGItZjE5Yy00YzA5LTk4MjQtYTIyNDk2OTI5NzVl2AIF4AIB&sid=09a56be760ee16d1d27e38fa6908bba1&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-02&checkout=2025-04-03&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=21412fad5c5f0146&srepoch=1742280413&all_sr_blocks=1374312001_409583200_2_1_0&highlighted_blocks=1374312001_409583200_2_1_0&matching_block_id=1374312001_409583200_2_1_0&sr_pri_blocks=1374312001_409583200_2_1_0__117579&from=searchresults
Hyatt Regency Delhi,New Delhi,"12,600",Very good,8.1,"1,622",https://www.booking.com/hotel/in/hyatt-regency-delhi.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsKU5L4GwAIB0gIkNTU4ZjQzOGItZjE5Yy00YzA5LTk4MjQtYTIyNDk2OTI5NzVl2AIF4AIB&sid=09a56be760ee16d1d27e38fa6908bba1&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-02&checkout=2025-04-03&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=21412fad5c5f0146&srepoch=1742280413&all_sr_blocks=34266557_93735596_2_42_0&highlighted_blocks=34266557_93735596_2_42_0&matching_block_id=34266557_93735596_2_42_0&sr_pri_blocks=34266557_93735596_2_42_0__1260000&from_sustainable_property_sr=1&from=searchresults
"Taj Palace, New Delhi","Chanakyapuri, New Delhi","16,500",Fabulous,8.7,"3,141",https://www.booking.com/hotel/in/taj-palace-new-delhi.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsKU5L4GwAIB0gIkNTU4ZjQzOGItZjE5Yy00YzA5LTk4MjQtYTIyNDk2OTI5NzVl2AIF4AIB&sid=09a56be760ee16d1d27e38fa6908bba1&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-02&checkout=2025-04-03&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=21412fad5c5f0146&srepoch=1742280413&all_sr_blocks=7472906_387247707_2_41_0&highlighted_blocks=7472906_387247707_2_41_0&matching_block_id=7472906_387247707_2_41_0&sr_pri_blocks=7472906_387247707_2_41_0__1650000&from_sustainable_property_sr=1&from=searchresults
Jai Shree Palace,New Delhi,"5,920",Review score,2.0,1,https://www.booking.com/hotel/in/jai-shree-palace-new-delhi.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsKU5L4GwAIB0gIkNTU4ZjQzOGItZjE5Yy00YzA5LTk4MjQtYTIyNDk2OTI5NzVl2AIF4AIB&sid=09a56be760ee16d1d27e38fa6908bba1&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-02&checkout=2025-04-03&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=21412fad5c5f0146&srepoch=1742280413&all_sr_blocks=1375008701_409656201_2_1_0&highlighted_blocks=1375008701_409656201_2_1_0&matching_block_id=1375008701_409656201_2_1_0&sr_pri_blocks=1375008701_409656201_2_1_0__592020&from=searchresults
Le Meridien New Delhi,New Delhi,"12,780",Very good,8.1,"1,322",https://www.booking.com/hotel/in/le-ma-c-ridien-new-delhi.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsKU5L4GwAIB0gIkNTU4ZjQzOGItZjE5Yy00YzA5LTk4MjQtYTIyNDk2OTI5NzVl2AIF4AIB&sid=09a56be760ee16d1d27e38fa6908bba1&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-02&checkout=2025-04-03&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=21412fad5c5f0146&srepoch=1742280413&all_sr_blocks=47327510_108883206_2_42_0&highlighted_blocks=47327510_108883206_2_42_0&matching_block_id=47327510_108883206_2_42_0&sr_pri_blocks=47327510_108883206_2_42_0__1278000&from=searchresults
Hotel grand mayara,"Mahipalpur, New Delhi","6,745",N/A,N/A,N/A,https://www.booking.com/hotel/in/grand-mayara.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsKU5L4GwAIB0gIkNTU4ZjQzOGItZjE5Yy00YzA5LTk4MjQtYTIyNDk2OTI5NzVl2AIF4AIB&sid=09a56be760ee16d1d27e38fa6908bba1&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-02&checkout=2025-04-03&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=21412fad5c5f0146&srepoch=1742280413&all_sr_blocks=1376271101_409760847_2_1_0&highlighted_blocks=1376271101_409760847_2_1_0&matching_block_id=1376271101_409760847_2_1_0&sr_pri_blocks=1376271101_409760847_2_1_0__674500&from=searchresults
Novotel New Delhi City Centre,"Central Delhi, New Delhi","10,500",Very good,8.4,19,https://www.booking.com/hotel/in/novotel-new-delhi-city-centre.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsKU5L4GwAIB0gIkNTU4ZjQzOGItZjE5Yy00YzA5LTk4MjQtYTIyNDk2OTI5NzVl2AIF4AIB&sid=09a56be760ee16d1d27e38fa6908bba1&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-02&checkout=2025-04-03&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=21412fad5c5f0146&srepoch=1742280413&all_sr_blocks=1308662101_407776627_2_0_0&highlighted_blocks=1308662101_407776627_2_0_0&matching_block_id=1308662101_407776627_2_0_0&sr_pri_blocks=1308662101_407776627_2_0_0__1050000&from=searchresults
Radisson Blu Plaza Delhi Airport,"Mahipalpur, New Delhi","11,730",Fabulous,8.8,"7,098",https://www.booking.com/hotel/in/radisson-new-delhi.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsKU5L4GwAIB0gIkNTU4ZjQzOGItZjE5Yy00YzA5LTk4MjQtYTIyNDk2OTI5NzVl2AIF4AIB&sid=09a56be760ee16d1d27e38fa6908bba1&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-02&checkout=2025-04-03&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=21412fad5c5f0146&srepoch=1742280413&all_sr_blocks=25429004_187953412_2_42_0&highlighted_blocks=25429004_187953412_2_42_0&matching_block_id=25429004_187953412_2_42_0&sr_pri_blocks=25429004_187953412_2_42_0__1173000&from=searchresults
HOTEL Annu,New Delhi,"1,499",N/A,N/A,N/A,https://www.booking.com/hotel/in/annu.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsKU5L4GwAIB0gIkNTU4ZjQzOGItZjE5Yy00YzA5LTk4MjQtYTIyNDk2OTI5NzVl2AIF4AIB&sid=09a56be760ee16d1d27e38fa6908bba1&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-02&checkout=2025-04-03&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=21412fad5c5f0146&srepoch=1742280413&all_sr_blocks=1375006301_409656077_2_2_0&highlighted_blocks=1375006301_409656077_2_2_0&matching_block_id=1375006301_409656077_2_2_0&sr_pri_blocks=1375006301_409656077_2_2_0__149900&from=searchresults
Holiday Inn New Delhi International Airport by IHG,"Aerocity, New Delhi","15,100",Superb,9.4,"7,776",https://www.booking.com/hotel/in/holiday-inn-new-delhi-international-airport.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsKU5L4GwAIB0gIkNTU4ZjQzOGItZjE5Yy00YzA5LTk4MjQtYTIyNDk2OTI5NzVl2AIF4AIB&sid=09a56be760ee16d1d27e38fa6908bba1&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-02&checkout=2025-04-03&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=21412fad5c5f0146&srepoch=1742280413&all_sr_blocks=76970639_94506140_2_42_0&highlighted_blocks=76970639_94506140_2_42_0&matching_block_id=76970639_94506140_2_42_0&sr_pri_blocks=76970639_94506140_2_42_0__1510000&from=searchresults
